name;frameTime;Loudness_sma3;alphaRatio_sma3;hammarbergIndex_sma3;slope0-500_sma3;slope500-1500_sma3;spectralFlux_sma3;mfcc1_sma3;mfcc2_sma3;mfcc3_sma3;mfcc4_sma3;F0semitoneFrom27.5Hz_sma3nz;jitterLocal_sma3nz;shimmerLocaldB_sma3nz;HNRdBACF_sma3nz;logRelF0-H1-H2_sma3nz;logRelF0-H1-A3_sma3nz;F1frequency_sma3nz;F1bandwidth_sma3nz;F1amplitudeLogRelF0_sma3nz;F2frequency_sma3nz;F2amplitudeLogRelF0_sma3nz;F3frequency_sma3nz;F3amplitudeLogRelF0_sma3nz
'P0179_0308';0.000000;1.453982e-02;-1.088753e+01;1.944729e+01;6.267851e-02;2.099203e-02;2.519143e-04;1.664907e+01;1.073190e+01;3.557333e+00;2.312616e+00;0;0;0;0;0;0;9.332479e+02;1.450644e+03;-201;1.811721e+03;-201;2.717125e+03;-201
'P0179_0308';0.010000;1.506081e-02;-1.150118e+01;2.045976e+01;4.607350e-02;1.763908e-02;6.066100e-04;1.825054e+01;1.020168e+01;4.587643e+00;4.709643e-01;0;0;0;0;0;0;8.891739e+02;1.368928e+03;-201;1.758961e+03;-201;2.670148e+03;-201
'P0179_0308';0.020000;1.512002e-02;-1.313852e+01;2.185930e+01;2.583629e-02;1.080966e-02;9.917123e-04;1.888650e+01;1.281664e+01;8.519015e+00;-1.610880e+00;0;0;0;0;0;0;8.222725e+02;1.311163e+03;-201;1.722508e+03;-201;2.627006e+03;-201
'P0179_0308';0.030000;1.542536e-02;-1.382724e+01;2.338076e+01;2.716614e-02;9.499080e-03;1.118076e-03;1.948384e+01;1.361977e+01;8.691298e+00;-2.304708e+00;0;0;0;0;0;0;8.280297e+02;1.321069e+03;-201;1.741458e+03;-201;2.613083e+03;-201
'P0179_0308';0.040000;1.494885e-02;-1.435352e+01;2.314873e+01;2.578934e-02;9.706961e-03;1.118482e-03;1.850973e+01;1.633170e+01;9.842148e+00;-1.749644e+00;0;0;0;0;0;0;7.814769e+02;1.415763e+03;-201;1.703739e+03;-201;2.580611e+03;-201
'P0179_0308';0.050000;1.496915e-02;-1.336765e+01;2.146576e+01;2.217904e-02;1.267105e-02;1.036162e-03;1.802428e+01;1.402055e+01;8.266338e+00;1.428120e+00;0;0;0;0;0;0;7.896634e+02;1.371919e+03;-201;1.685374e+03;-201;2.586799e+03;-201
'P0179_0308';0.060000;1.526510e-02;-1.172959e+01;1.931067e+01;2.536204e-02;1.289350e-02;9.652002e-04;1.674136e+01;1.175353e+01;9.031735e+00;-7.721348e-01;0;0;0;0;0;0;7.834646e+02;1.391778e+03;-201;1.667716e+03;-201;2.589133e+03;-201
'P0179_0308';0.070000;1.550512e-02;-1.089251e+01;1.962064e+01;4.346664e-02;1.470192e-02;8.958348e-04;1.629831e+01;9.196465e+00;8.249166e+00;4.433656e-01;0;0;0;0;0;0;8.417803e+02;1.271394e+03;-201;1.712758e+03;-201;2.631982e+03;-201
'P0179_0308';0.080000;1.579343e-02;-1.142773e+01;2.094285e+01;4.773844e-02;1.351595e-02;1.061222e-03;1.683349e+01;1.033109e+01;9.861522e+00;-1.941905e-01;0;0;0;0;0;0;8.419328e+02;1.251563e+03;-201;1.716852e+03;-201;2.642263e+03;-201
'P0179_0308';0.090000;1.662350e-02;-1.176354e+01;2.172224e+01;4.872835e-02;7.776821e-03;1.113095e-03;1.849607e+01;1.008407e+01;7.770641e+00;1.426539e+00;0;0;0;0;0;0;8.497187e+02;1.254111e+03;-201;1.748228e+03;-201;2.654843e+03;-201
